datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:38:33,dm-2,0.0,0.0,1710.0,0.0,13680.0,0.0,16.0,0.62,0.36,0.36,0.0,0.28,47.9
14/07/18 16:38:34,dm-2,0.0,0.0,2753.0,0.0,22024.0,0.0,16.0,0.98,0.36,0.36,0.0,0.25,69.9
14/07/18 16:38:35,dm-2,0.0,0.0,2321.0,0.0,18568.0,0.0,16.0,0.84,0.36,0.36,0.0,0.25,58.3
14/07/18 16:38:36,dm-2,0.0,0.0,3747.0,0.0,29960.0,0.0,15.99,1.35,0.36,0.36,0.0,0.2,75.2
14/07/18 16:38:37,dm-2,0.0,0.0,2343.0,0.0,18744.0,0.0,16.0,0.83,0.35,0.35,0.0,0.29,67.3
14/07/18 16:38:38,dm-2,0.0,0.0,2104.0,0.0,16832.0,0.0,16.0,0.74,0.35,0.35,0.0,0.24,50.9
14/07/18 16:38:39,dm-2,0.0,0.0,1866.0,0.0,14928.0,0.0,16.0,0.67,0.36,0.36,0.0,0.29,54.0
14/07/18 16:38:40,dm-2,0.0,0.0,1150.0,0.0,9200.0,0.0,16.0,0.47,0.41,0.41,0.0,0.35,39.8
14/07/18 16:38:41,dm-2,0.0,0.0,897.0,0.0,7176.0,0.0,16.0,0.37,0.41,0.41,0.0,0.33,30.0
14/07/18 16:38:42,dm-2,0.0,0.0,1132.0,0.0,9040.0,0.0,15.97,0.46,0.41,0.41,0.0,0.33,37.4
14/07/18 16:38:43,dm-2,0.0,0.0,3002.0,0.0,24000.0,0.0,15.99,1.07,0.36,0.36,0.0,0.24,72.1
14/07/18 16:38:44,dm-2,0.0,0.0,2240.0,0.0,17904.0,0.0,15.99,0.83,0.37,0.37,0.0,0.29,65.2
14/07/18 16:38:45,dm-2,0.0,0.0,1680.0,0.0,13432.0,0.0,15.99,0.63,0.38,0.38,0.0,0.28,46.9
14/07/18 16:38:46,dm-2,0.0,0.0,1144.0,0.0,9144.0,0.0,15.99,0.47,0.41,0.41,0.0,0.34,38.4
14/07/18 16:38:47,dm-2,0.0,0.0,745.0,0.0,5960.0,0.0,16.0,0.33,0.44,0.44,0.0,0.38,28.6
14/07/18 16:38:48,dm-2,0.0,0.0,739.0,0.0,5912.0,0.0,16.0,0.34,0.46,0.46,0.0,0.39,28.6
14/07/18 16:38:49,dm-2,0.0,0.0,838.0,0.0,6704.0,0.0,16.0,0.32,0.39,0.39,0.0,0.34,28.1
14/07/18 16:38:50,dm-2,0.0,0.0,1281.0,0.0,10248.0,0.0,16.0,0.47,0.36,0.36,0.0,0.3,38.6
