datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:38:11,1288220,0,0,1258,492.52,85393,0,369956,0,0,0,0,1053,37066,0,0,113,5,0,0,0,0,0,0,290,0,0,94084,47374
07/14/2018 16:38:12,1027134,0,0,1914,283.15,68095,0,381335,0,0,0,0,1122,37199,0,0,85,5,0,0,0,0,0,0,290,0,0,82384,34995
07/14/2018 16:38:13,817922,0,0,982,522.99,70379,0,386045,0,0,0,0,1163,37297,0,0,64,4,0,0,0,0,0,0,290,0,0,85546,39323
07/14/2018 16:38:14,1674197,0,0,1293,807.59,112642,0,510703,0,0,0,0,1193,37431,0,0,109,5,0,0,0,0,0,0,290,0,0,176815,71709
07/14/2018 16:38:15,1026295,0,0,1612,341.35,80254,0,396270,0,19,0,0,1235,37547,0,0,92,6,0,0,0,0,0,0,290,0,0,95947,43050
07/14/2018 16:38:16,1270765,0,0,715,1203,112775,0,471789,0,9,0,0,1326,37709,0,0,79,6,0,0,0,0,0,0,290,0,0,184675,74655
07/14/2018 16:38:17,935828,0,0,752,866.84,76451,0,388927,0,0,0,0,1343,37767,0,0,61,4,0,0,0,0,0,0,290,0,0,98279,43300
07/14/2018 16:38:18,1337224,0,0,994,766.3,80896,0,478106,0,0,0,0,1381,37911,0,0,63,6,0,0,0,0,0,0,290,0,0,105813,41040
07/14/2018 16:38:19,1086585,0,0,1177,569.11,88787,0,410220,0,19,0,0,1085,38027,0,0,78,6,0,0,0,0,0,0,290,0,0,111068,51550
07/14/2018 16:38:20,1281011,0,0,1810,379.11,74576,0,358434,0,0,0,0,1102,38150,0,0,83,4,0,0,0,0,0,0,290,0,0,85553,37677
07/14/2018 16:38:21,728140,0,0,426,1303.15,62356,0,390264,0,0,0,0,1118,38208,0,0,37,3,0,0,0,0,0,0,290,0,0,73769,33216
07/14/2018 16:38:22,1283794,0,0,1196,641.88,123294,0,400823,0,0,0,0,1141,38296,0,0,38,5,0,0,0,0,0,0,290,0,0,243728,90855
07/14/2018 16:38:23,1225151,0,0,442,1545.05,63775,0,429293,0,0,0,0,1159,38429,0,0,45,4,0,0,0,0,0,0,290,0,0,77028,31523
07/14/2018 16:38:24,1027280,0,0,965,637.1,85910,0,435439,0,57,0,0,1208,38519,0,0,94,6,0,0,0,0,0,0,290,0,0,103203,49594
07/14/2018 16:38:25,1737897,0,0,2544,350.55,93888,0,508667,0,19,0,0,1241,38675,0,0,106,6,0,0,0,0,0,0,290,0,0,108783,49147
07/14/2018 16:38:26,2062974,0,0,1701,552.5,125504,0,507577,0,19,0,0,1274,38810,0,0,85,6,0,0,0,0,0,0,290,0,0,242600,89843
07/14/2018 16:38:27,854995,0,0,957,607.23,92942,0,422803,0,18,0,0,1369,38881,0,0,81,6,0,0,0,0,0,0,290,0,0,122421,57204
07/14/2018 16:38:28,1004979,0,0,960,727.47,91555,0,381815,0,36,0,0,1487,39036,0,0,78,6,0,0,0,0,0,0,290,0,0,132097,53380
07/14/2018 16:38:29,876454,0,0,1737,300.95,89786,0,387639,0,36,0,0,1662,39094,0,0,67,6,0,0,0,0,0,0,290,0,0,114309,53586
07/14/2018 16:38:30,860977,0,0,742,769.28,68865,0,342557,0,0,0,0,1674,39206,0,0,49,4,0,0,0,0,0,0,290,0,0,83695,36785
07/14/2018 16:38:31,1282864,0,0,541,1276.43,88093,0,426114,0,0,0,0,1696,39304,0,0,64,5,0,0,0,0,0,0,290,0,0,143480,52844
07/14/2018 16:38:32,1248834,0,0,577,1238.18,118193,0,345930,0,1,0,0,1737,39396,0,0,86,4,0,0,0,0,0,0,290,0,0,230480,86049
07/14/2018 16:38:33,1148493,0,0,1866,361.41,70736,0,346746,0,0,0,0,1752,39470,0,0,36,4,0,0,0,0,0,0,290,0,0,80539,37632
07/14/2018 16:38:34,1219424,0,0,2540,281.27,82616,0,491485,0,0,0,0,1779,39610,0,0,123,6,0,0,0,0,0,0,290,0,0,109993,43606
07/14/2018 16:38:35,1354699,0,0,2651,307.06,98134,0,466827,0,27,0,0,1930,39770,0,0,160,7,0,0,0,0,0,0,290,0,0,114447,50135
07/14/2018 16:38:36,1656378,0,0,3355,308.17,76337,0,620869,0,0,0,0,1961,39880,0,0,88,6,0,0,0,0,0,0,290,0,0,108422,39475
07/14/2018 16:38:37,904091,0,0,2500,262.76,80359,0,402597,0,0,0,0,1981,40003,0,0,82,5,0,0,0,0,0,0,290,0,0,95439,42739
07/14/2018 16:38:38,872820,0,0,2160,275.93,70542,0,373139,0,0,0,0,2002,40129,0,0,72,4,0,0,0,0,0,0,290,0,0,83829,37101
07/14/2018 16:38:39,934356,0,0,1659,358.91,79423,0,399767,0,36,0,0,2160,40260,0,0,91,6,0,0,0,0,0,0,290,0,0,84513,42296
07/14/2018 16:38:40,1509213,0,0,1277,577.69,103468,0,378919,0,18,0,0,2240,40376,0,0,78,6,0,0,0,0,0,0,290,0,0,159928,69475
07/14/2018 16:38:41,1113568,0,0,832,846.05,93934,0,368782,0,0,0,0,2260,40475,0,0,61,4,0,0,0,0,0,0,290,0,0,159957,59353
07/14/2018 16:38:42,973079,0,0,1207,476.76,81211,0,424880,0,0,0,0,2282,40566,0,0,85,5,0,0,0,0,0,0,290,0,0,98220,45243
07/14/2018 16:38:43,1154887,0,0,3064,224.1,82902,0,420284,0,0,0,0,2301,40667,0,0,114,5,0,0,0,0,0,0,290,0,0,100692,44136
07/14/2018 16:38:44,1261130,0,0,2036,340.03,101053,0,373764,0,0,0,0,2318,40797,0,0,81,5,0,0,0,0,0,0,290,0,0,172299,68547
07/14/2018 16:38:45,1187121,0,0,1757,358.85,74199,0,481860,0,0,0,0,2340,40912,0,0,68,5,0,0,0,0,0,0,290,0,0,95437,39405
07/14/2018 16:38:46,1300351,0,0,1065,679.46,96868,0,408791,0,0,0,0,2362,41004,0,0,77,5,0,0,0,0,0,0,290,0,0,167286,64910
07/14/2018 16:38:47,1485373,0,0,742,1193.37,122812,0,427737,0,9,0,0,2448,41105,0,0,104,6,0,0,0,0,0,0,290,0,0,233656,88414
07/14/2018 16:38:48,1518836,0,0,945,995.52,105385,0,481897,0,38,0,0,2490,41247,0,0,89,5,0,0,0,0,0,0,290,0,0,173046,68619
